transactionId,payoutId,salesRecordReference,transactionType,bookingEntry,transactionDate,transactionStatus,transactionMemo,paymentsEntity,references,feeType,amount.value,amount.currency,orderId,orderLineItems,buyer.username,totalFeeBasisAmount.value,totalFeeBasisAmount.currency,totalFeeAmount.value,totalFeeAmount.currency,ebayCollectedTaxAmount.value,ebayCollectedTaxAmount.currency
FEE-7679090886719_11,7448303251,0,NON_SALE_CHARGE,DEBIT,2026-04-14T12:30:21.218Z,PAYOUT,Promoted Listings - General fee,eBay Commerce Inc.,"[{'referenceId': '358336393808', 'referenceType': 'ITEM_ID'}, {'referenceId': '13-14496-96518', 'referenceType': 'ORDER_ID'}]",AD_FEE,19.8,USD,,,,,,,,,
13-14496-96518,,0,SALE,CREDIT,2026-04-14T03:41:26.498Z,FUNDS_ON_HOLD,"Funds available within 24 hours of order delivery, Estimated release on May 18",eBay Commerce Inc.,,,304.51,USD,13-14496-96518,"[{'lineItemId': '10082391226313', 'feeBasisAmount': {'value': '359.99', 'currency': 'USD'}, 'marketplaceFees': [{'feeType': 'FINAL_VALUE_FEE', 'amount': {'value': '50.29', 'currency': 'USD'}}, {'feeType': 'FINAL_VALUE_FEE_FIXED_PER_ORDER', 'amount': {'value': '0.44', 'currency': 'USD'}}, {'feeType': 'INTERNATIONAL_FEE', 'amount': {'value': '4.75', 'currency': 'USD'}, 'feeMemo': 'Charged because the delivery address is in Canada. Final amount: $359.99.'}]}]",calgaryrhonda,359.99,USD,55.48,USD,,
01-14502-85044,7448303251,0,SALE,CREDIT,2026-04-11T13:44:20.008Z,PAYOUT,,eBay Commerce Inc.,,,108.48,USD,01-14502-85044,"[{'lineItemId': '10080097192501', 'feeBasisAmount': {'value': '137.79', 'currency': 'USD'}, 'marketplaceFees': [{'feeType': 'FINAL_VALUE_FEE', 'amount': {'value': '19.25', 'currency': 'USD'}}, {'feeType': 'FINAL_VALUE_FEE_FIXED_PER_ORDER', 'amount': {'value': '0.44', 'currency': 'USD'}}, {'feeType': 'INTERNATIONAL_FEE', 'amount': {'value': '1.82', 'currency': 'USD'}, 'feeMemo': 'Charged because the delivery address is in United States. Final amount: $137.79.'}]}]",asadikovic,129.99,USD,21.51,USD,7.8,USD
FEE-7662094106619_11,7436883427,0,NON_SALE_CHARGE,DEBIT,2026-04-08T15:25:32.084Z,PAYOUT,Promoted Listings - General fee,eBay Commerce Inc.,"[{'referenceId': '358340196429', 'referenceType': 'ITEM_ID'}, {'referenceId': '27-14450-95719', 'referenceType': 'ORDER_ID'}]",AD_FEE,22.74,USD,,,,,,,,,
27-14450-95719,7452056179,0,SALE,CREDIT,2026-04-08T15:21:43.762Z,PAYOUT,,eBay Commerce Inc.,,,326.34,USD,27-14450-95719,"[{'lineItemId': '10084104216427', 'feeBasisAmount': {'value': '413.39', 'currency': 'USD'}, 'marketplaceFees': [{'feeType': 'FINAL_VALUE_FEE', 'amount': {'value': '57.75', 'currency': 'USD'}}, {'feeType': 'FINAL_VALUE_FEE_FIXED_PER_ORDER', 'amount': {'value': '0.44', 'currency': 'USD'}}, {'feeType': 'INTERNATIONAL_FEE', 'amount': {'value': '5.46', 'currency': 'USD'}, 'feeMemo': 'Charged because the delivery address is in United States. Final amount: $413.39.'}]}]",charl-bisse,389.99,USD,63.65,USD,23.4,USD
19-14453-77496,7441700443,0,SALE,CREDIT,2026-04-06T17:30:36.462Z,PAYOUT,,eBay Commerce Inc.,,,190.95,USD,19-14453-77496,"[{'lineItemId': '10080844356919', 'feeBasisAmount': {'value': '252.41', 'currency': 'USD'}, 'marketplaceFees': [{'feeType': 'FINAL_VALUE_FEE', 'amount': {'value': '35.27', 'currency': 'USD'}}, {'feeType': 'FINAL_VALUE_FEE_FIXED_PER_ORDER', 'amount': {'value': '0.44', 'currency': 'USD'}}, {'feeType': 'INTERNATIONAL_FEE', 'amount': {'value': '3.33', 'currency': 'USD'}, 'feeMemo': 'Charged because the delivery address is in United States. Final amount: $252.41.'}]}]",tayloeade0,229.99,USD,39.04,USD,22.42,USD
FEE-7654923605219_11,7435248883,0,NON_SALE_CHARGE,DEBIT,2026-04-06T02:07:39.112Z,PAYOUT,Promoted Listings - General fee,eBay Commerce Inc.,"[{'referenceId': '358301217296', 'referenceType': 'ITEM_ID'}, {'referenceId': '26-14440-71841', 'referenceType': 'ORDER_ID'}]",AD_FEE,8.93,USD,,,,,,,,,
26-14440-71841,7441700443,0,SALE,CREDIT,2026-04-06T02:02:06.654Z,PAYOUT,,eBay Commerce Inc.,,,124.73,USD,26-14440-71841,"[{'lineItemId': '10079684182426', 'feeBasisAmount': {'value': '162.36', 'currency': 'USD'}, 'marketplaceFees': [{'feeType': 'FINAL_VALUE_FEE', 'amount': {'value': '22.68', 'currency': 'USD'}}, {'feeType': 'FINAL_VALUE_FEE_FIXED_PER_ORDER', 'amount': {'value': '0.44', 'currency': 'USD'}}, {'feeType': 'INTERNATIONAL_FEE', 'amount': {'value': '2.14', 'currency': 'USD'}, 'feeMemo': 'Charged because the delivery address is in United States. Final amount: $162.36.'}]}]",julicarte-96,149.99,USD,25.26,USD,12.37,USD
FEE-7654350844419_11,7435248883,0,NON_SALE_CHARGE,DEBIT,2026-04-05T22:08:36.336Z,PAYOUT,Promoted Listings - General fee,eBay Commerce Inc.,"[{'referenceId': '358331788592', 'referenceType': 'ITEM_ID'}, {'referenceId': '09-14464-41816', 'referenceType': 'ORDER_ID'}]",AD_FEE,8.8,USD,,,,,,,,,
09-14464-41816,7448303251,0,SALE,CREDIT,2026-04-05T22:02:57.050Z,PAYOUT,,eBay Commerce Inc.,,,125.1,USD,09-14464-41816,"[{'lineItemId': '10079845763709', 'feeBasisAmount': {'value': '159.93', 'currency': 'USD'}, 'marketplaceFees': [{'feeType': 'FINAL_VALUE_FEE', 'amount': {'value': '22.34', 'currency': 'USD'}}, {'feeType': 'FINAL_VALUE_FEE_FIXED_PER_ORDER', 'amount': {'value': '0.44', 'currency': 'USD'}}, {'feeType': 'INTERNATIONAL_FEE', 'amount': {'value': '2.11', 'currency': 'USD'}, 'feeMemo': 'Charged because the delivery address is in United States. Final amount: $159.93.'}]}]",ke_4190369,149.99,USD,24.89,USD,9.94,USD
